SECTION,KEY,VALUE
SUMMARY,pdb,1K24
SUMMARY,chain,A
SUMMARY,n_ca,249
SUMMARY,rsa_thresh,0.220
SUMMARY,n_dirs,192
SUMMARY,pas_centres_A,1.0
SUMMARY,widen_step_A,0.250
SUMMARY,max_half_extra_A,1.500
SUMMARY,min_half_A,11.500
SUMMARY,max_half_A,13.500
SUMMARY,COM_x,30.403
SUMMARY,COM_y,-2.402
SUMMARY,COM_z,9.879
SUMMARY,Q_max,1.210
SUMMARY,best_center_A,-0.71
SUMMARY,best_half_A,13.50
SUMMARY,best_thickness_A,27.00
SUMMARY,best_normal_x,-0.706933
SUMMARY,best_normal_y,0.186345
SUMMARY,best_normal_z,0.682292
SUMMARY,d_in_A,-14.21
SUMMARY,d_out_A,12.79
SUMMARY,center_in_x,40.446
SUMMARY,center_in_y,-5.050
SUMMARY,center_in_z,0.186
SUMMARY,center_out_x,21.359
SUMMARY,center_out_y,-0.018
SUMMARY,center_out_z,18.607

SECTION,rank,Q,normal_x,normal_y,normal_z,center,half,d_in,d_out,is_best
DIRECTIONS,154,-0.042048,-0.942886,-0.057439,-0.328125,-0.943,13.5,-14.443,12.557,0
DIRECTIONS,155,-0.055516,0.86622,0.367495,0.338542,0.866,13.5,-12.634,14.366,0
DIRECTIONS,156,-0.055991,0.499419,-0.109796,0.859375,0.499,13.5,-13.001,13.999,0
DIRECTIONS,157,-0.071075,0.38643,0.141123,0.911458,0.386,13.5,-13.114,13.886,0
DIRECTIONS,158,-0.071587,0.854083,0.506154,0.119792,0.854,13.5,-12.646,14.354,0
DIRECTIONS,159,-0.071868,-0.608923,-0.207438,-0.765625,-0.609,13.5,-14.109,12.891,0
DIRECTIONS,160,-0.076339,-0.24952,0.564998,-0.786458,-0.25,13.5,-13.75,13.25,0
DIRECTIONS,161,-0.076868,-0.342074,0.355595,-0.869792,-0.342,13.5,-13.842,13.158,0
DIRECTIONS,162,-0.07879,-0.835529,-0.364134,-0.411458,-0.836,13.5,-14.336,12.664,0
DIRECTIONS,163,-0.080742,-0.431018,-0.048446,-0.901042,-0.431,13.5,-13.931,13.069,0
DIRECTIONS,164,-0.084047,-0.746018,0.291042,-0.598958,-0.746,13.5,-14.246,12.754,0
